prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
16/1-12 (Rolvsnes),2021,8,0.00653,0.00000,0.00000,0.00000,0.00653,0.00291,17196400
16/1-12 (Rolvsnes),2021,9,0.01053,0.00000,0.00000,0.00000,0.01053,0.00719,17196400
16/1-12 (Rolvsnes),2021,10,0.01238,0.00000,0.00000,0.00000,0.01238,0.00912,17196400
16/1-12 (Rolvsnes),2021,11,0.01298,0.00000,0.00000,0.00000,0.01298,0.01186,17196400
16/1-12 (Rolvsnes),2021,12,0.00461,0.00000,0.00000,0.00000,0.00461,0.00418,17196400
16/1-12 (Rolvsnes),2022,1,0.01015,0.00000,0.00000,0.00000,0.01015,0.00926,17196400
16/1-12 (Rolvsnes),2022,2,0.01618,0.00000,0.00000,0.00000,0.01618,0.01946,17196400
16/1-12 (Rolvsnes),2022,3,0.00831,0.00000,0.00000,0.00000,0.00831,0.01439,17196400
16/1-12 (Rolvsnes),2022,4,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,17196400
16/1-12 (Rolvsnes),2022,5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17196400
33/9-6 DELTA,2009,7,0.00025,0.00000,-0.00004,0.00000,0.00021,0.00051,44576
33/9-6 DELTA,2009,8,0.00325,0.00000,0.00014,0.00000,0.00339,0.00063,44576
33/9-6 DELTA,2009,9,0.00317,0.00000,0.00010,0.00000,0.00327,0.00316,44576
33/9-6 DELTA,2009,10,0.00294,0.00000,0.00012,0.00000,0.00306,0.00535,44576
33/9-6 DELTA,2009,11,-0.00001,0.00000,-0.00004,0.00000,-0.00005,0.00000,44576
33/9-6 DELTA,2009,12,0.00062,0.00000,-0.00002,0.00000,0.00060,0.00096,44576
33/9-6 DELTA,2010,1,0.00298,0.00000,0.00008,0.00000,0.00305,0.00079,44576
33/9-6 DELTA,2010,2,0.00260,0.00000,0.00010,0.00000,0.00270,0.00451,44576
33/9-6 DELTA,2010,3,0.00302,0.00000,0.00015,0.00000,0.00317,0.00682,44576
