# From: https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population
# Census April 1
State	2020	2010
California	39,538,223	37,253,956
Texas	29,145,505	25,145,561
Florida	21,538,187	18,801,310
New York	20,201,249	19,378,102
Pennsylvania	13,002,700	12,702,379
Illinois	12,812,508	12,830,632
Ohio	11,799,448	11,536,504
Georgia	10,711,908	9,687,653
North Carolina	10,439,388	9,535,483
Michigan	10,077,331	9,883,640
New Jersey	9,288,994	8,791,894
Virginia	8,631,393	8,001,024
Washington	7,705,281	6,724,540
Arizona	7,151,502	6,392,017
Massachusetts	7,029,917	6,547,629
Tennessee	6,910,840	6,346,105
Indiana	6,785,528	6,483,802
Maryland	6,177,224	5,773,552
Missouri	6,154,913	5,988,927
Wisconsin	5,893,718	5,686,986
Colorado	5,773,714	5,029,196
Minnesota	5,706,494	5,303,925
South Carolina	5,118,425	4,625,364
Alabama	5,024,279	4,779,736
Louisiana	4,657,757	4,533,372
Kentucky	4,505,836	4,339,367
Oregon	4,237,256	3,831,074
Oklahoma	3,959,353	3,751,351
Connecticut	3,605,944	3,574,097
Puerto Rico	3,285,874	3,725,789
Utah	3,271,616	2,763,885
Iowa	3,190,369	3,046,355
Nevada	3,104,614	2,700,551
Arkansas	3,011,524	2,915,918
Mississippi	2,961,279	2,967,297
Kansas	2,937,880	2,853,118
New Mexico	2,117,522	2,059,179
Nebraska	1,961,504	1,826,341
Idaho	1,839,106	1,567,582
West Virginia	1,793,716	1,852,994
Hawaii	1,455,271	1,360,301
New Hampshire	1,377,529	1,316,470
Maine	1,362,359	1,328,361
Rhode Island	1,097,379	1,052,567
Montana	1,084,225	989,415
Delaware	989,948	897,934
South Dakota	886,667	814,180
North Dakota	779,094	672,591
Alaska	733,391	710,231
District of Columbia	689,545	601,723
Vermont	643,077	625,741
Wyoming	576,851	563,626
Guam	168,485	159,358
U.S. Virgin Islands	106,235	106,405
Northern Mariana Islands	51,433	53,883
American Samoa	49,437	55,519
