Time,Concentration
0.0,-4.74728594617606e-36
0.02,4.25739451024344e-37
0.04,2.85094576162658e-36
0.06,-5.79112385652537e-35
0.08,-1.33981086246479e-34
0.1,-3.49480047089298e-34
0.12,-2.05584042182236e-33
0.14,-7.07766234819315e-33
0.16,-2.04472906293026e-32
0.18,-4.33038932790843e-32
0.2,-5.13576731657119e-32
0.22,-7.80655376328571e-32
0.24,-4.79253404138814e-31
0.26,-2.07662078542108e-30
0.28,-5.31587532089715e-30
0.3,-8.76412270488709e-30
0.32,-1.03029339471586e-29
0.34,-2.13261192837465e-29
0.36,-1.24114752826387e-28
0.38,-6.15150924722615e-28
0.4,-2.29413015727476e-27
0.42,-6.90507451590502e-27
0.44,-1.75695508678712e-26
0.46,-4.14725463843077e-26
0.48,-1.01798620280807e-25
0.5,-3.28820442994046e-25
0.52,-1.27688515692576e-24
0.54,-4.62239545004577e-24
0.56,-1.60974128841327e-23
0.58,-5.17979596672175e-23
0.6,-1.52526070884249e-22
0.62,-3.9672893151354e-22
0.64,-9.05466223062578e-22
0.66,-1.77050339500381e-21
0.68,-2.71400055318027e-21
0.7,-1.92061847385714e-21
0.72,7.44302169956539e-21
0.74,4.66627209216707e-20
0.76,1.75119031994078e-19
0.78,5.45526906544846e-19
0.8,1.52543979972288e-18
0.82,3.95375928293559e-18
0.84,9.68172132691791e-18
0.86,2.27962118764371e-17
0.88,5.28238226169786e-17
0.9,1.24617685407136e-16
0.92,3.12373777901699e-16
0.94,8.61776273037829e-16
0.96,2.62886461918897e-15
0.98,8.45688676886702e-15
1.0,2.28407034251436e-14
1.02,6.82064693534178e-14
1.04,2.625954231212e-13
1.06,9.02726351651869e-13
1.08,2.98010511263438e-12
1.1,7.99664113997803e-12
1.12,2.0902957738606e-11
1.14,5.38403279628474e-11
1.16,1.37589828729874e-10
1.18,3.46103155892434e-10
1.2,8.5588906212986e-10
1.22,2.07910431635258e-09
1.24,5.03752374006945e-09
1.26,1.28770645466439e-08
1.28,3.1631672540866e-08
1.3,7.43196256316169e-08
1.32,1.66231187323237e-07
1.34,3.54999751114551e-07
1.36,7.30401424642571e-07
1.38,1.46253614041254e-06
1.4,2.88231782146252e-06
1.42,5.54837432316768e-06
1.44,1.04326497936729e-05
1.46,1.91596971344002e-05
1.48,3.43686824246902e-05
1.5,6.02280789313901e-05
1.52,0.000103139269202865
1.54,0.00017281621075459
1.56,0.000283882328936942
1.58,0.000455932535358832
1.6,0.000716161251260012
1.62,0.00110058560368521
1.64,0.00165540612921499
1.66,0.00243794265088283
1.68,0.0035168933409254
1.7,0.00497307357793174
1.72,0.00689694843540526
1.74,0.00937968651906585
1.76,0.0125151902082008
1.78,0.0163922232036768
1.8,0.0210878144702256
1.82,0.0266608326034149
1.84,0.0331461878382433
1.86,0.0405495253366475
1.88,0.048842892826199
1.9,0.0579688283392585
1.92,0.0678423526020279
1.94,0.0783564412281083
1.96,0.0893899083987272
1.98,0.100815824321437
2.0,0.112907394295443
2.02,0.125216808317778
2.04,0.136914318619077
2.06,0.148569746934556
2.08,0.160216349061678
2.1,0.171822526070728
2.12,0.183364322784749
2.14,0.194734165686916
2.16,0.205959385854356
2.18,0.217039257989761
2.2,0.227945955787135
2.22,0.238656450893359
2.24,0.249152005597304
2.26,0.259417691616208
2.28,0.269440351513591
2.3,0.27921409292301
2.32,0.288739464225254
2.34,0.298022527659762
2.36,0.307074408684081
2.38,0.315908195571008
2.4,0.324539693451963
2.42,0.332984627540806
2.44,0.3412561041106
2.46,0.349363234932934
2.48,0.35730818116241
2.5,0.365085207270364
2.52,0.37268070907426
2.54,0.380075901888355
2.56,0.387248153049513
2.58,0.394166384340217
2.6,0.400794763759216
2.62,0.407087580194162
2.64,0.412985786725142
2.66,0.418431243546293
2.68,0.423362254151381
2.7,0.427707853677419
2.72,0.431394687799518
2.74,0.434331522693173
2.76,0.436410352403075
2.78,0.43753325891805
2.8,0.437610544818889
2.82,0.436587296611464
2.84,0.434467797887299
2.86,0.431291240874001
2.88,0.427110400826078
2.9,0.422009480976665
2.92,0.416087773538526
2.94,0.409449319765783
2.96,0.40218311166237
2.98,0.394393772173587
3.0,0.386116177773285
3.02,0.377349628356703
3.04,0.368792433051061
3.06,0.360063956005529
3.08,0.351211881512041
3.1,0.342325047228269
3.12,0.333446205296306
3.14,0.324600611371668
3.16,0.315819962880856
3.18,0.307121618649413
3.2,0.298515931616207
3.22,0.290016170391558
3.24,0.28162832245584
3.26,0.27335068888578
3.28,0.265192710229087
3.3,0.257175148059269
3.32,0.249320183445569
3.34,0.241638741664226
3.36,0.234128142499818
3.38,0.226777659982811
3.4,0.219577717361812
3.42,0.212522379817709
3.44,0.205610111111804
3.46,0.198843675485444
3.48,0.192226765787693
3.5,0.185763927224376
3.52,0.179464958377586
3.54,0.173349422440336
3.56,0.16744708035166
3.58,0.161798002951792
3.6,0.156452398357303
3.62,0.151485005277047
3.64,0.146968016216453
3.66,0.142961890717676
3.68,0.139539653692589
3.7,0.136799449768561
3.72,0.134860442992749
3.74,0.133842250880605
3.76,0.133849941241078
3.78,0.134988274385926
3.8,0.13738588424293
3.82,0.141159840370023
3.84,0.146412987086602
3.86,0.153204635220603
3.88,0.161533359965577
3.9,0.171327410607862
3.92,0.182445991674219
3.94,0.194694915108412
3.96,0.207853994428724
3.98,0.221692716510416
4.0,0.236018768742178
4.02,0.250653802528595
4.04,0.265448113370669
4.06,0.280286328943803
4.08,0.295084537700649
4.1,0.309785547327798
4.12,0.324351831825614
4.14,0.338755246518885
4.16,0.352968207075684
4.18,0.366962228414709
4.2,0.380712423833778
4.22,0.394195630455115
4.24,0.407392314463617
4.26,0.420288648365731
4.28,0.432879166040882
4.3,0.445167482726121
4.32,0.457162189612187
4.34,0.468871513986909
4.36,0.480306438396984
4.38,0.491479510165118
4.4,0.502404917181435
4.42,0.513096989437564
4.44,0.523568098373365
4.46,0.53382645446378
4.48,0.543876329719069
4.5,0.553716947552282
4.52,0.563339252629301
4.54,0.572722027001792
4.56,0.581837411617566
4.58,0.590647358224538
4.6,0.599105051171072
4.62,0.607153745599721
4.64,0.614724568250319
4.66,0.621736498445888
4.68,0.628096729387425
4.7,0.63370245944208
4.72,0.638435792439892
4.74,0.642183623195017
4.76,0.644823835862067
4.78,0.646233792664984
4.8,0.646300956584913
4.82,0.644935628740289
4.84,0.642087841983183
4.86,0.637759836326407
4.88,0.63199858335769
4.9,0.624875547979243
4.92,0.616484992624435
4.94,0.606941467152035
4.96,0.596392823301565
4.98,0.585012400699996
5.0,0.572979610417774
5.02,0.560459359854924
5.04,0.547604080202594
5.06,0.534558228380387
5.08,0.52144709505833
5.1,0.508356226708167
5.12,0.495349078662665
5.14,0.482476402721839
5.16,0.469769081402546
5.18,0.457239513617534
5.2,0.444888238582517
5.22,0.432714204195947
5.24,0.420719240053646
5.26,0.408909602859624
5.28,0.397295424885741
5.3,0.385890616510305
5.32,0.374698323130835
5.34,0.36372390390391
5.36,0.352970458759013
5.38,0.342434660449801
5.4,0.332114796339895
5.42,0.322010378113942
5.44,0.312110423406459
5.46,0.302419522966016
5.48,0.292923782259492
5.5,0.283626317361487
5.52,0.274520529077135
5.54,0.2656035538243
5.56,0.256875684012517
5.58,0.248333175521362
5.6,0.239978434142165
5.62,0.231814355201721
5.64,0.223839704436209
5.66,0.216061374684023
5.68,0.208477448058371
5.7,0.201092856059493
5.72,0.193909061823733
5.74,0.18692818392668
5.76,0.180155425584559
5.78,0.173589551798605
5.8,0.167238782420661
5.82,0.161099541100706
5.84,0.155178457360786
5.86,0.149473350892378
5.88,0.143984132845779
5.9,0.138710817598193
5.92,0.133649456589314
5.94,0.128795279439243
5.96,0.124147204978305
5.98,0.11968901364342
6.0,0.115427914779747
6.02,0.111337784298094
6.04,0.107428457333548
6.06,0.103679086928318
6.08,0.100087481389322
6.1,0.0966452591616395
6.12,0.0933390578629491
6.14,0.0901712884594112
6.16,0.0871221654737181
6.18,0.0842002194452735
6.2,0.0813805529659306
6.22,0.0786728498294382
6.24,0.0760637184236146
6.26,0.0735527831807602
6.28,0.0711351089112816
6.3,0.0688042498789041
6.32,0.0665616055374817
6.34,0.064399166758785
6.36,0.0623204171900801
6.38,0.0603195224627543
6.4,0.0583987924704836
6.42,0.0565538323929629
6.44,0.0547848311536294
6.46,0.0530920857975534
6.48,0.0514753226563017
6.5,0.0499341117625539
6.52,0.0484668598181638
6.54,0.0470742185248863
6.56,0.0457545667555723
6.58,0.044508558033971
6.6,0.0433335972065038
6.62,0.0422299670941481
6.64,0.0411946990454519
6.66,0.0402258354350762
6.68,0.0393231363087793
6.7,0.0384829288329221
6.72,0.0377062826990279
6.74,0.0369854807090751
6.76,0.0363236919365158
6.78,0.0357141406777851
6.8,0.0351579819052059
6.82,0.0346509640526171
6.84,0.0341907466516656
6.86,0.0337763068203991
6.88,0.0334021411995414
6.9,0.033070130190831
6.92,0.0327730536123238
6.94,0.0325139333584881
6.96,0.0322848812482886
6.98,0.0320876947958679
7.0,0.031918157300458
7.02,0.0317745026520989
7.04,0.031655576564769
7.06,0.0315568781626219
7.08,0.031479844574201
7.1,0.0314186856079823
7.12,0.0313758728010372
7.14,0.0313459496219013
7.16,0.0313304527648833
7.18,0.0313263428422083
7.2,0.0313327243346025
7.22,0.0313489560014192
7.24,0.0313727894653657
7.26,0.031404783806543
7.28,0.0314415470773407
7.3,0.0314845570705824
7.32,0.0315304595872301
7.34,0.0315803684034976
7.36,0.031632069640803
7.38,0.0316851456180184
7.4,0.0317390784259263
7.42,0.0317925516823526
7.44,0.0318459389001373
7.46,0.0318976634575686
7.48,0.0319484271366961
7.5,0.031996338470309
7.52,0.0320421152058941
7.54,0.0320847969937955
7.56,0.0321242878901217
7.58,0.0321601082137518
7.6,0.0321915558169052
7.62,0.0322189067281722
7.64,0.0322416605616887
7.66,0.0322600314471385
7.68,0.032273338337073
7.7,0.0322818464263284
7.72,0.0322855582424319
7.74,0.0322844738442104
7.76,0.0322785119008287
7.78,0.0322676028591935
7.8,0.0322517260015127
7.82,0.0322306870658408
7.84,0.032204583756927
7.86,0.032173578929329
7.88,0.0321376080321656
7.9,0.0320967030984209
7.92,0.0320508626092863
7.94,0.0320004591103219
7.96,0.031945762925586
7.98,0.0318866896905879
8.0,0.0318234876691758
8.02,0.0317560757797486
8.04,0.0316849991005706
8.06,0.0316100376341348
8.08,0.0315318195569137
8.1,0.0314502738229594
8.12,0.0313655638059292
8.14,0.0312778304865108
8.16,0.0311872014174329
8.18,0.0310941830321591
8.2,0.0309985499508961
8.22,0.0309005472326758
8.24,0.0308000741213903
8.26,0.0306974165974286
8.28,0.030592524814476
8.3,0.0304857664056431
8.32,0.0303773268158503
8.34,0.0302671111802761
8.36,0.0301552202335197
8.38,0.0300416606306804
8.4,0.0299268858624867
8.42,0.0298107058892565
8.44,0.0296933479733998
8.46,0.0295747595111517
8.48,0.0294548230375446
8.5,0.0293335016062797
8.52,0.0292110222799507
8.54,0.0290876995080971
8.56,0.0289633260169657
8.58,0.0288376375500826
8.6,0.0287107470519463
8.62,0.0285830645144518
8.64,0.0284544730931278
8.66,0.0283252511257217
8.68,0.0281954775187743
8.7,0.028065006020811
8.72,0.0279337520152493
8.74,0.0278018883190284
8.76,0.0276700574583807
8.78,0.0275379791188903
8.8,0.0274050169498873
8.82,0.0272713842670823
8.84,0.0271375476003898
8.86,0.0270035868681935
8.88,0.0268693832160375
8.9,0.02673492957479
8.92,0.0266002747236727
8.94,0.0264656067403273
8.96,0.0263308417884485
8.98,0.0261964874823973
9.0,0.0260623496887128
9.02,0.0259280789726973
9.04,0.0257936423498582
9.06,0.025659313665815
9.08,0.0255252940391845
9.1,0.0253914401842103
9.12,0.0252576686756191
9.14,0.0251240211853649
9.16,0.0249906660173826
9.18,0.024857537560364
9.2,0.0247249488370809
9.22,0.0245929056470933
9.24,0.0244613696846413
9.26,0.0243303564399215
9.28,0.0241999163797417
9.3,0.024070229542998
9.32,0.0239412256428832
9.34,0.0238132098930236
9.36,0.0236860611748021
9.38,0.0235594487813793
9.4,0.0234333898496658
9.42,0.023308269043904
9.44,0.0231843235142894
9.46,0.0230612424229563
9.48,0.022938639186815
9.5,0.022816736098077
9.52,0.0226960548244893
9.54,0.0225763845671915
9.56,0.0224575576726871
9.58,0.0223395937896555
9.6,0.0222224786409064
9.62,0.0221061922638344
9.64,0.0219907984482433
9.66,0.0218764048089609
9.68,0.0217629354295511
9.7,0.0216501588856632
9.72,0.0215381704434678
9.74,0.0214273009601479
9.76,0.021317491501877
9.78,0.0212086329117765
9.8,0.0211006889770094
9.82,0.0209936968864554
9.84,0.0208876717522213
9.86,0.0207825939661592
9.88,0.0206783713143583
9.9,0.0205750424885591
9.92,0.0204725782269545
9.94,0.0203709854073711
9.96,0.0202702353934478
9.98,0.0201703172672498
10.0,0.0200712574847064
