Time,Concentration
0.0,0.0
0.02,-3.63049573592847e-66
0.04,-2.48778795415188e-58
0.06,-3.46211883149955e-56
0.08,-3.16841430689683e-50
0.1,-3.67745125187358e-48
0.12,-1.56735471495891e-46
0.14,-3.80639132150573e-45
0.16,-6.31862010461598e-44
0.18,-7.59381053051058e-43
0.2,-6.4780589666121e-42
0.22,-3.12596648812702e-41
0.24,1.09269594866516e-40
0.26,4.54784805234079e-39
0.28,6.28025808399584e-38
0.3,6.28097349111887e-37
0.32,5.16530004943198e-36
0.34,3.66762244934683e-35
0.36,2.30642685050028e-34
0.38,1.30476830348782e-33
0.4,6.71018390268292e-33
0.42,3.16075743442286e-32
0.44,1.37103526291924e-31
0.46,5.49716238551379e-31
0.48,2.04186096823301e-30
0.5,-4.86709064702839e-26
0.52,-1.75931452992993e-25
0.54,-9.82755560069171e-25
0.56,-3.85191724645317e-24
0.58,-1.32159192864443e-23
0.6,-4.26227968030246e-23
0.62,-1.02633851501852e-22
0.64,1.12900900911725e-22
0.66,2.03020600573589e-21
0.68,1.48202022709185e-20
0.7,9.74436921238425e-20
0.72,3.41933614618224e-19
0.74,1.95007290384895e-18
0.76,5.72149853279713e-18
0.78,2.71437798705349e-17
0.8,9.32489924165204e-17
0.82,2.97253364227348e-16
0.84,1.05655535506717e-15
0.86,2.70784875283214e-15
0.88,9.53768153698061e-15
0.9,2.47618164303298e-14
0.92,7.24969311979862e-14
0.94,1.96658674898124e-13
0.96,4.78158663980178e-13
0.98,1.30414953719373e-12
1.0,2.79051458130989e-12
1.02,5.40798543836958e-12
1.04,1.03132271462666e-11
1.06,1.97465329773009e-11
1.08,3.74140585298994e-11
1.1,7.04782432490828e-11
1.12,1.32263747389196e-10
1.14,2.47366449774456e-10
1.16,4.59481833543411e-10
1.18,8.46871038290163e-10
1.2,1.55029620670231e-09
1.22,2.81991360528837e-09
1.24,5.0911203221662e-09
1.26,9.12303920007519e-09
1.28,1.62750074544298e-08
1.3,2.89934508265785e-08
1.32,5.17517313788401e-08
1.34,9.21814168468746e-08
1.36,1.62273477924679e-07
1.38,2.79460091597011e-07
1.4,4.70116022493652e-07
1.42,7.74922907264777e-07
1.44,1.25826245573131e-06
1.46,2.01903673253914e-06
1.48,3.20869221321353e-06
1.5,5.05586199417151e-06
1.52,7.89987256279802e-06
1.54,1.22315839382554e-05
1.56,1.8759967376785e-05
1.58,2.86356248121753e-05
1.6,4.33433213240737e-05
1.62,6.47937406098116e-05
1.64,9.59803453991778e-05
1.66,0.000140530227235723
1.68,0.000203311435126825
1.7,0.000290834634419223
1.72,0.000411570855588551
1.74,0.000575413745588307
1.76,0.000794737856611089
1.78,0.00108511950873438
1.8,0.00146483533309946
1.82,0.00195409026450988
1.84,0.0025763386962074
1.86,0.00335920055821846
1.88,0.00433158898233427
1.9,0.00552354935500358
1.92,0.00696691146252413
1.94,0.00869602258540684
1.96,0.0107421275676474
1.98,0.0131351545509209
2.0,0.0159030058399514
2.02,0.019072023252367
2.04,0.0226616885890825
2.06,0.0266882695983128
2.08,0.0311639068724214
2.1,0.036096928958783
2.12,0.0414908464531729
2.14,0.0473461144471809
2.16,0.053660076002179
2.18,0.0604273298855946
2.2,0.0676410872184679
2.22,0.0752930567028117
2.24,0.0833737969469607
2.26,0.0918730792914824
2.28,0.100781453461988
2.3,0.110088995770928
2.32,0.119784647939134
2.34,0.129856704906249
2.36,0.14029331432835
2.38,0.151082458127753
2.4,0.162212352974627
2.42,0.173671535061119
2.44,0.185449210052084
2.46,0.197534019881626
2.48,0.209914953648393
2.5,0.222583229772609
2.52,0.235530362227218
2.54,0.248745662088587
2.56,0.262212753362017
2.58,0.2759095292965
2.6,0.289804030547533
2.62,0.303850131183316
2.64,0.317975684341389
2.66,0.332090408787339
2.68,0.346024010487707
2.7,0.359635743956339
2.72,0.372677109488769
2.74,0.385080888341447
2.76,0.396604064419632
2.78,0.407039501575952
2.8,0.416315984708258
2.82,0.42423108591359
2.84,0.430748938895321
2.86,0.435805273443963
2.88,0.439356361147047
2.9,0.441439059263123
2.92,0.442080986061415
2.94,0.441415673183693
2.96,0.439472904180793
2.98,0.436369390214921
3.0,0.432157434933073
3.02,0.426889530479257
3.04,0.420711840434831
3.06,0.413665283738584
3.08,0.40584455886952
3.1,0.397405748261462
3.12,0.388379278945616
3.14,0.378917995553949
3.16,0.369128774234548
3.18,0.359077182355356
3.2,0.348928872260677
3.22,0.338723790694824
3.24,0.328542095023708
3.26,0.318477719036786
3.28,0.308527168044488
3.3,0.298741498968935
3.32,0.289134869017224
3.34,0.279714659632016
