Time,Concentration
0.0,2.55298456585359e-36
0.02,3.37636254415186e-33
0.04,-1.41059400377145e-33
0.06,-3.71135069520995e-34
0.08,8.70531867119412e-34
0.1,-2.73753246838974e-34
0.12,9.65808375645467e-35
0.14,-2.6207923712053e-35
0.16,3.13671312582582e-37
0.18,1.14421312971039e-35
0.2,-1.20095423966417e-35
0.22,3.09626826258701e-35
0.24,1.85610256567586e-34
0.26,1.10170178349153e-33
0.28,2.99498502160368e-33
0.3,-2.2951199906949198e-33
0.32,-6.30645705357829e-32
0.34,-3.31166168358999e-31
0.36,-1.12758268878766e-30
0.38,-2.92624056572604e-30
0.4,-6.14740612488481e-30
0.42,-1.0542942475596e-29
0.44,-1.32833277136294e-29
0.46,-3.03758315044613e-30
0.48,5.47887646624803e-29
0.5,2.43192486185545e-28
0.52,6.75392725096271e-28
0.54,1.09073247037256e-27
0.56,-1.47596643307007e-27
0.58,-2.1373806247661e-26
0.6,-1.05666340490338e-25
0.62,-3.22042372049871e-25
0.64,-4.36066202426872e-25
0.66,9.75994595335601e-25
0.68,8.51406338920265e-24
0.7,3.29859510806717e-23
0.72,9.428954296101e-23
0.74,2.20135332172502e-22
0.76,4.18668889796498e-22
0.78,5.62652967289867e-22
0.8,-1.08747277111971e-22
0.82,-4.86954448877371e-21
0.84,-2.56290636399516e-20
0.86,-9.97301272972389e-20
0.88,-3.27567009667715e-19
0.9,-9.35926959942402e-19
0.92,-2.33309281560152e-18
0.94,-5.00842499206378e-18
0.96,-8.91945665094936e-18
0.98,-1.17809753196169e-17
1.0,-5.38404932600167e-18
1.02,3.44418512857383e-17
1.04,2.07534867988276e-16
1.06,1.09987722703798e-15
1.08,6.08574347309035e-15
1.1,3.26422874172179e-14
1.12,1.61402551399693e-13
1.14,7.29145007393874e-13
1.16,3.02552287998074e-12
1.18,1.16318688446519e-11
1.2,4.17693935531522e-11
1.22,1.41021086423752e-10
1.24,4.50095411016049e-10
1.26,1.36456543696874e-09
1.28,3.94700801266689e-09
1.3,1.09395305394361e-08
1.32,2.91773559172422e-08
1.34,7.50696860554669e-08
1.36,1.85522198287952e-07
1.38,4.2967857408205e-07
1.4,9.41364203344254e-07
1.42,1.97656318192202e-06
1.44,4.01249139317131e-06
1.46,7.91043746749072e-06
1.48,1.51765268982359e-05
1.5,2.83659931253616e-05
1.52,5.16871781480496e-05
1.54,9.18713255818225e-05
1.56,0.0001593757537831
1.58,0.000284583659782103
1.6,0.000485645485909982
1.62,0.000823658896490566
1.64,0.00129627151202385
1.66,0.00205274985430978
1.68,0.00306763505711951
1.7,0.00456359305717053
1.72,0.00651824977307358
1.74,0.00919893465351291
1.76,0.0126096689474981
1.78,0.0170195638480697
1.8,0.0224692986849271
1.82,0.0291799546186274
1.84,0.0372197361956388
1.86,0.046723015741354
1.88,0.0577484840513357
1.9,0.0703413215995896
1.92,0.0844835431541286
1.94,0.100175509737651
1.96,0.117240272530109
1.98,0.135709850434034
2.0,0.155567938604605
2.02,0.176911854348565
2.04,0.198409038521088
2.06,0.220326799777143
2.08,0.242694813638208
2.1,0.265244912024382
2.12,0.287734469703904
2.14,0.309992944788362
2.16,0.331881369393177
2.18,0.353304477375284
2.2,0.374365025976638
2.22,0.395066576180869
2.24,0.415380420687264
2.26,0.435288890227134
2.28,0.454797274109458
2.3,0.47391861450145
2.32,0.492667788724425
2.34,0.511044111543526
2.36,0.529029322061807
2.38,0.546601410478086
2.4,0.563741678717044
2.42,0.580437174049815
2.44,0.596687097940275
2.46,0.612495761398595
2.48,0.627861092670873
2.5,0.642775284900846
2.52,0.657230741734206
2.54,0.671226619709009
2.56,0.684769435677066
2.58,0.697869221845843
2.6,0.710532761764352
2.62,0.722760840731449
2.64,0.734549662899179
2.66,0.745897694358968
2.68,0.756809155859191
2.7,0.767294539805447
2.72,0.777367109333832
2.74,0.787041749977593
2.76,0.796332491786353
2.78,0.805251666617914
2.8,0.8138115289381
2.82,0.822025202105229
2.84,0.829906232015937
2.86,0.83746764010289
2.88,0.844719486029899
2.9,0.851670940805832
2.92,0.8583351216825
2.94,0.864735703890697
2.96,0.870864398840124
2.98,0.876746553825039
3.0,0.882437770009357
3.02,0.887971015769486
3.04,0.893367021928819
3.06,0.898641477294926
3.08,0.903806974417645
3.1,0.908872973047416
3.12,0.913845452059811
3.14,0.918727036200683
3.16,0.923517343933773
3.18,0.928213720755412
3.2,0.932812088999247
3.22,0.937307303460626
3.24,0.941693560085094
3.26,0.94596457370536
3.28,0.950113573619766
3.3,0.954133267396073
3.32,0.958015869217711
3.34,0.961753155032193
3.36,0.965336505862839
3.38,0.968757024712626
3.4,0.972005940230053
3.42,0.975074936847548
3.44,0.977956626178867
3.46,0.980644264783603
3.48,0.983130813485957
3.5,0.985408728613014
3.52,0.987469809803903
3.54,0.989305014635538
3.56,0.990903983329174
3.58,0.992254109756898
3.6,0.993338387084321
3.62,0.994131706084389
3.64,0.994597201023844
3.66,0.994683425029704
3.68,0.994323988340202
3.7,0.993432417967633
3.72,0.991910010321511
3.74,0.989635427967284
3.76,0.986470784240456
3.78,0.982267142259606
3.8,0.976871531789163
3.82,0.970135460801877
3.84,0.961925538759298
3.86,0.952134370169539
3.88,0.940696925706975
3.9,0.927636656221198
3.92,0.913014497049729
3.94,0.896850422931155
3.96,0.87934448800658
3.98,0.860519682831759
4.0,0.840701820612819
4.02,0.819913253575979
4.04,0.798532519208646
4.06,0.776586279151952
4.08,0.754426843621877
4.1,0.732085739586313
4.12,0.709836009571545
4.14,0.687707063760201
4.16,0.665873735964098
4.18,0.644351985489227
4.2,0.623227869913423
4.22,0.602501527826481
4.24,0.582201096041524
4.26,0.562317123833463
4.28,0.542852666642962
4.3,0.523794480257042
4.32,0.505139896616321
4.34,0.486887713846496
4.36,0.469037580460534
4.38,0.451596306436332
4.4,0.434563690565414
4.42,0.417951342987074
4.44,0.401757476926308
4.46,0.385998350956326
4.48,0.370669863716421
4.5,0.355788744347299
4.52,0.341349754828013
4.54,0.327360495852906
4.56,0.313818326604302
4.58,0.300722206922037
4.6,0.288071596408425
4.62,0.275860140394622
4.64,0.264088080828728
4.66,0.252745331040338
4.68,0.241831605643789
4.7,0.231332216941389
4.72,0.221246959081759
4.74,0.211559627040772
4.76,0.20226736667497
4.78,0.193350401708462
4.8,0.184804270599224
4.82,0.176608192136577
4.84,0.168754346432517
4.86,0.161221549797053
4.88,0.153998232002164
4.9,0.147064193344844
4.92,0.140403964898425
4.94,0.133999911902983
4.96,0.127831940875542
4.98,0.12188583248283
5.0,0.116139319931803
5.02,0.110583122851826
5.04,0.105192402631977
5.06,0.0999626065085534
5.08,0.0948677023529102
5.1,0.0899074807996992
5.12,0.0850572743927168
5.14,0.080320277644355
5.16,0.0756766801216643
5.18,0.0711312540145471
5.2,0.0666732353567662
5.22,0.0623062794921872
5.24,0.0580322555663642
5.26,0.0538515864729405
5.28,0.0497779281082442
5.3,0.0458092270626131
5.32,0.0419667299414734
5.34,0.0382472325815718
5.36,0.034674701766931
5.38,0.0312458126904628
5.4,0.0279826225096215
5.42,0.0248823512220197
5.44,0.0219620397959823
5.46,0.0192197491208221
5.48,0.0166666534168276
5.5,0.0143015806083048
5.52,0.0121307123032608
5.54,0.0101528804105818
5.56,0.00837019797456666
5.58,0.00677940572571041
5.6,0.0053781977169511
5.62,0.00415913658526945
5.64,0.00311573699346108
5.66,0.00223846662588154
5.68,0.00152032242496655
5.7,0.000939072267796975
5.72,0.000493597953887909
5.74,0.000155662076176194
5.76,-8.18341409903275e-05
5.78,-0.000236053891108654
5.8,-0.000328585954659551
5.82,-0.000365829198036323
5.84,-0.000363539659648473
5.86,-0.000336270089341388
5.88,-0.000290860207381022
5.9,-0.000235162624075647
5.92,-0.000177363106402595
5.94,-0.000122163974323881
5.96,-7.2525171374638e-05
5.98,-3.12686752141299e-05
6.0,5.31594726883894e-07
6.02,2.26670666048046e-05
6.04,3.58365804244297e-05
6.06,4.1386078737046e-05
6.08,4.09143443449538e-05
6.1,3.60073818264592e-05
6.12,2.84868129858134e-05
6.14,1.98866071887913e-05
6.16,1.15752636315898e-05
6.18,4.50091257688453e-06
6.2,-8.44021504232343e-07
6.22,-4.39134445729053e-06
6.24,-6.36259281909488e-06
6.26,-7.07192043435983e-06
6.28,-6.86569866404971e-06
6.3,-6.06613520082965e-06
6.32,-4.95394098269671e-06
6.34,-3.7701528113357e-06
6.36,-2.67536773542684e-06
6.38,-1.76450212630737e-06
6.4,-1.06453480492679e-06
6.42,-5.61715948546109e-07
6.44,-2.2448235689201e-07
6.46,-1.34524830070047e-08
6.48,9.80758043467873e-08
6.5,1.35441159459822e-07
6.52,1.28377459320385e-07
6.54,1.02232036496435e-07
6.56,7.60213867281678e-08
6.58,5.65134197734861e-08
6.6,4.46142790681902e-08
6.62,3.84281977411968e-08
6.64,3.58339893723315e-08
6.66,3.52692544729139e-08
6.68,3.50208165843979e-08
6.7,3.38843049635512e-08
6.72,3.13715756466828e-08
6.74,2.75997019234443e-08
6.76,2.29459015250496e-08
6.78,1.78788895934312e-08
6.8,1.28912334909425e-08
6.82,8.41047324033103e-09
6.84,4.68791667212484e-09
6.86,1.85105062508879e-09
6.88,-1.03848767571891e-10
6.9,-1.27326041258353e-09
6.92,-1.80334034732677e-09
6.94,-1.88432111648965e-09
6.96,-1.67997525729836e-09
6.98,-1.34805724534307e-09
7.0,-9.85973744623898e-10
7.02,-6.65415214037101e-10
7.04,-4.16990158180724e-10
7.06,-2.4826255269606e-10
7.08,-1.50135396783107e-10
7.1,-1.03811802214539e-10
7.12,-8.80300944588608e-11
7.14,-8.35526022820406e-11
7.16,-7.75995464689479e-11
7.18,-6.3999477610902e-11
7.2,-4.23250617615806e-11
7.22,-1.57785857631352e-11
7.24,1.03711888278436e-11
7.26,3.1099234573301e-11
7.28,4.30980150851781e-11
7.3,4.56876510089122e-11
7.32,4.01390226768364e-11
7.34,2.90606449565559e-11
7.36,1.63588182951533e-11
7.38,4.86478500996956e-12
7.4,-3.35932976008764e-12
7.42,-7.75228227024707e-12
7.44,-8.69833058726574e-12
7.46,-7.20544469942399e-12
7.48,-4.59437055691036e-12
7.5,-1.95030937953929e-12
7.52,5.07151025577281e-14
7.54,1.17313691903662e-12
7.56,1.5199200331941e-12
7.58,1.33912880626377e-12
7.6,8.89338662880916e-13
7.62,3.92878355346973e-13
7.64,-1.8959802295468e-14
7.66,-2.85280880818718e-13
7.68,-4.13000792827695e-13
7.7,-4.37970110840073e-13
7.72,-3.97084829388654e-13
7.74,-3.30662366412017e-13
7.76,-2.50461233693975e-13
7.78,-1.67643243680104e-13
7.8,-9.16967325353689e-14
7.82,-2.65608773256393e-14
7.84,2.52821889413277e-14
7.86,6.28009792263302e-14
7.88,8.5143844529588e-14
7.9,9.2508569626438e-14
7.92,8.66234514404904e-14
7.94,7.0952353190606e-14
7.96,4.95963258981594e-14
7.98,2.61735004366544e-14
8.0,4.2537295029519e-15
8.02,-1.35970185164925e-14
8.04,-2.60882927584838e-14
8.06,-3.40236095050743e-14
8.08,-3.73539899660794e-14
8.1,-3.7463487043956e-14
8.12,-3.52251030129914e-14
8.14,-3.02952486313118e-14
8.16,-2.54910528246138e-14
8.18,-1.95370398323188e-14
8.2,-1.37685622989667e-14
8.22,-8.47506805202023e-15
8.24,-3.45226176174998e-15
8.26,5.59501438379329e-16
8.28,3.92291264687144e-15
8.3,6.43720580345539e-15
8.32,8.11850029871653e-15
8.34,9.03925704865914e-15
8.36,9.28077200575792e-15
8.38,8.79892551931447e-15
8.4,7.95749993413247e-15
8.42,6.64584283487328e-15
8.44,5.07407206685912e-15
8.46,3.49731338753916e-15
8.48,1.770045474601e-15
8.5,3.71252907910702e-16
8.52,-9.04450637727359e-16
8.54,-1.91626532514633e-15
8.56,-2.58828945057183e-15
8.58,-2.98384675061706e-15
8.6,-3.1070604564066e-15
8.62,-2.95603756782049e-15
8.64,-2.65041750642411e-15
8.66,-2.20843573740627e-15
8.68,-1.64834368252599e-15
8.7,-1.13882756796932e-15
8.72,-5.95805176239859e-16
8.74,-1.51790237775952e-16
8.76,2.10178319227005e-16
8.78,4.90600588801603e-16
8.8,6.56998925073844e-16
8.82,7.27427207068845e-16
8.84,7.33736277156397e-16
8.86,6.65064829394969e-16
8.88,5.52095363110296e-16
8.9,4.26035209484008e-16
8.92,2.69520707427273e-16
8.94,1.44078742710012e-16
8.96,2.29977806089674e-17
8.98,-7.55693546110784e-17
9.0,-1.43383753313501e-16
9.02,-1.8771550759403e-16
9.04,-2.07841435777379e-16
9.06,-2.04098377945283e-16
9.08,-1.88025579359911e-16
9.1,-1.60683472835851e-16
9.12,-1.23851465639743e-16
9.14,-9.10259524788263e-17
9.16,-5.53555010633759e-17
9.18,-2.67958726339619e-17
9.2,-3.62209780960956e-18
9.22,1.42567266854897e-17
9.24,2.50939655045945e-17
9.26,2.98860676393918e-17
9.28,3.3922899750418e-17
9.3,3.52144813212579e-17
9.32,3.36511717439866e-17
9.34,2.92329710186043e-17
9.36,2.2410729069832e-17
9.38,1.85566445898564e-17
9.4,1.39185693228643e-17
9.42,8.4965032688552e-18
9.44,2.29044642782894e-18
9.46,-2.13405298203553e-18
9.48,-4.96788788643393e-18
9.5,-7.12834441488807e-18
9.52,-8.61542256739797e-18
9.54,-9.4694875307664e-18
9.56,-9.78357015104197e-18
9.58,-9.48230575090092e-18
9.6,-8.56569433034316e-18
9.62,-7.03373588936849e-18
9.64,-6.02097640685288e-18
9.66,-4.96957028947712e-18
9.68,-3.77833250974979e-18
9.7,-2.44726306767075e-18
9.72,-1.31133554257437e-18
9.74,-5.66974228803553e-19
9.76,4.67459877990674e-20
9.78,5.29825107233512e-19
9.8,8.81687423279717e-19
9.82,1.09695290967337e-18
9.84,1.17925098110838e-18
9.86,1.12858163758472e-18
9.88,9.44944879102405e-19
9.9,7.97431333378379e-19
9.92,6.63994678355988e-19
9.94,4.90242157837675e-19
9.96,2.76173771823417e-19
9.98,6.56942080421121e-20
10.0,-5.27442635578253e-20
