x	y	z
15.3824	16.6125	22.6405
4.0565	10.1961	10.9734
9.7707	7.2677	12.1773
11.5822	1.3737	11.6634
5.6181	19.4590	20.2537
6.9357	16.9209	18.2872
13.0458	15.8400	20.5207
0.5626	7.4173	7.4386
1.5074	15.9188	15.9900
15.7852	4.7517	16.4849
14.8598	1.0590	14.8974
8.6687	3.2239	9.2487
14.0343	8.7269	16.5263
4.6590	3.0779	5.5838
0.2511	10.3203	10.3234
11.2758	5.2234	12.4269
11.5704	5.9689	13.0193
3.5036	13.2107	13.6674
13.2275	0.2054	13.2291
4.5237	15.3975	16.0482
8.4343	13.3595	15.7992
13.2753	8.4911	15.7586
2.9940	10.9655	11.3669
13.3506	15.3755	20.3628
8.1673	15.7450	17.7372
19.7915	14.1216	24.3131
1.1420	18.8861	18.9206
12.5553	15.7170	20.1161
0.9135	9.3006	9.3454
10.6876	9.2834	14.1566
0.5095	4.9214	4.9477
3.8500	9.5612	10.3072
7.2898	12.7795	14.7124
10.8746	2.5212	11.1631
9.5508	13.0574	16.1775
14.1684	18.2205	23.0809
14.7101	19.7769	24.6478
6.7548	4.7796	8.2747
7.7089	16.7978	18.4822
12.2087	14.1615	18.6976
8.9348	6.9091	11.2945
9.7190	6.7133	11.8121
18.1113	15.2420	23.6714
13.1386	1.6315	13.2395
16.4350	18.4366	24.6986
8.0819	16.4338	18.3136
6.8149	0.8648	6.8696
14.8791	6.4651	16.2230
4.0676	10.9833	11.7123
4.7777	19.5518	20.1270
