time_hrs	Fraction_of_injected_water_produced
0	0
0.1	1.89564E-50
0.2	2.76332E-38
0.3	1.05217E-31
0.4	2.42682E-27
0.5	3.74975E-24
0.6	1.11601E-21
0.7	1.11136E-19
0.8	5.10641E-18
0.9	1.32405E-16
1	2.214E-15
1.1	2.61819E-14
1.1	2.64631E-14
1.2	2.33863E-13
1.3	1.65935E-12
1.4	9.70714E-12
1.5	4.81885E-11
1.6	2.07702E-10
1.7	7.91788E-10
1.8	2.71025E-09
1.9	8.43492E-09
2	2.41199E-08
2.1	6.3936E-08
2.2	1.583E-07
2.3	1.5909E-07
2.4	3.68476E-07
2.5	8.10934E-07
2.6	1.6957E-06
2.7	3.38362E-06
2.8	6.46755E-06
2.9	1.18822E-05
3	2.10458E-05
3.1	3.60348E-05
3.2	5.97893E-05
3.3	9.63436E-05
3.4	0.000151072
3.5	0.000230938
3.6	0.000344724
3.7	0.00050323
3.8	0.00071942
3.9	0.00100849
4	0.00138785
4.1	0.001877
4.2	0.00249733
4.2	0.00327175
4.3	0.00327664
4.4	0.0042243
4.4	0.00537959
4.5	0.00538677
4.6	0.00676225
4.7	0.0083963
4.8	0.0103045
4.9	0.0125077
5	0.0150242
5.1	0.0178694
5.2	0.0210552
5.3	0.0245895
5.4	0.0284762
5.5	0.0327152
5.6	0.0373018
5.7	0.0422275
5.8	0.0474797
5.9	0.0530423
6	0.058896
6.1	0.0650185
6.2	0.0713856
6.3	0.0779707
6.4	0.0847465
6.5	0.0916845
6.6	0.098756
6.7	0.105932
6.8	0.113186
6.9	0.120489
7	0.127816
7.1	0.135143
7.2	0.142447
7.3	0.149706
7.4	0.156902
7.5	0.164019
7.6	0.17104
7.7	0.177952
7.8	0.184746
7.9	0.19141
8	0.197939
8.1	0.204325
8.2	0.210565
8.3	0.216654
8.3	0.222592
8.4	0.222625
8.5	0.228378
8.6	0.234011
8.7	0.239493
8.8	0.244826
8.8	0.250011
8.9	0.25004
9	0.255052
9.1	0.259952
9.2	0.264715
9.3	0.269343
9.4	0.273843
9.5	0.278216
9.6	0.282469
9.7	0.286604
9.8	0.290626
9.9	0.294539
10	0.298348
10.1	0.302055
10.2	0.305666
10.3	0.309183
10.4	0.31261
10.5	0.315952
10.6	0.31921
10.7	0.322388
10.8	0.32549
10.9	0.328518
11	0.331475
11.1	0.334364
11.2	0.337186
11.3	0.339945
11.4	0.342643
11.5	0.345281
11.6	0.347863
11.7	0.350389
11.8	0.352862
11.9	0.355284
12	0.357655
12.1	0.359978
12.2	0.362255
12.3	0.364486
12.4	0.366674
12.5	0.368819
12.6	0.370922
12.7	0.372985
12.8	0.37501
12.9	0.376996
13	0.378946
13.1	0.38086
13.2	0.382739
13.3	0.384585
13.4	0.386397
13.5	0.388177
13.6	0.389927
13.7	0.391646
13.8	0.393335
13.9	0.394995
14	0.396628
14.1	0.398233
14.2	0.399811
14.3	0.401363
14.4	0.402891
14.5	0.404393
14.6	0.405871
14.7	0.407326
14.8	0.408758
14.9	0.410167
15	0.411555
15.1	0.412921
15.2	0.414267
15.3	0.415593
15.4	0.416899
15.5	0.418185
15.6	0.419453
15.7	0.420702
15.8	0.421934
15.9	0.423148
16	0.424345
16.1	0.425526
16.1	0.42669
16.2	0.426696
16.3	0.427839
16.4	0.428972
16.5	0.43009
16.5	0.431193
16.6	0.431199
16.7	0.432282
16.8	0.433357
16.9	0.434419
17	0.435467
17	0.436502
17.1	0.436507
17.2	0.437525
17.3	0.438535
17.4	0.439533
17.5	0.44052
17.5	0.441494
17.6	0.441499
17.7	0.442458
17.8	0.443411
17.9	0.444353
18	0.445285
18	0.446206
18.1	0.446211
18.2	0.447118
18.3	0.44802
18.4	0.448913
18.5	0.449796
18.6	0.450671
18.7	0.451536
18.8	0.452393
18.9	0.453242
19	0.454083
19.1	0.454915
19.2	0.45574
19.3	0.456558
19.4	0.457368
19.5	0.458171
19.6	0.458966
19.7	0.459755
19.8	0.460537
19.9	0.461313
20	0.462082
20.1	0.462845
20.2	0.463602
20.3	0.464353
20.4	0.465099
20.5	0.465838
20.6	0.466572
20.7	0.467301
20.8	0.468024
20.9	0.468742
21	0.469456
21.1	0.470164
21.2	0.470867
21.3	0.471566
21.4	0.472261
21.5	0.47295
21.6	0.473636
21.7	0.474317
21.8	0.474994
21.9	0.475667
22	0.476336
22.1	0.477002
22.2	0.477663
22.3	0.478321
22.4	0.478975
22.5	0.479625
22.6	0.480273
22.7	0.480916
22.8	0.481557
22.9	0.482194
23	0.482828
23.1	0.483459
23.2	0.484088
23.3	0.484713
23.4	0.485335
23.5	0.485955
23.6	0.486571
23.7	0.487186
23.8	0.487797
23.9	0.488406
24	0.489012
24.1	0.489617
24.2	0.490218
24.3	0.490817
24.4	0.491414
24.5	0.492009
24.6	0.492602
24.7	0.493192
24.8	0.493781
24.9	0.494367
25	0.494951
25.1	0.495533
25.2	0.496114
