time	well_pressure
1.000000032	3775.204835
4.99999992	3740.94947
9.99999984	3728.708408
15	3721.164836
19.99999944	3715.811339
30	3708.776561
39.9999984	3703.638589
49.9999992	3699.627128
60	3696.35188
70.0000008	3693.591952
79.9999992	3691.210428
90	3689.119996
99.999996	3687.257853
199.999992	3676.25498
300	3670.226185
500.000016	3664.257292
750	3660.883563
1000.000032	3659.345145
1500	3658.432856
1749.999936	3658.224146
2000.000064	3658.128276
2499.99984	3658.071421
2750.00016	3658.058367
3000	3658.052421
