Time,Concentration
0.0,0.0
0.02,9.13494194260141e-45
0.04,-4.00908380847021e-40
0.06,-1.22778924891183e-39
0.08,-3.84663651919047e-39
0.1,-1.43006527066369e-38
0.12,-5.39823672038339e-38
0.14,-1.88437965312234e-37
0.16,-5.97204628001012e-37
0.18,-1.73678116901048e-36
0.199999999999999,-4.79447478333644e-36
0.219999999999999,-1.27057491721639e-35
0.239999999999999,-3.30532413087475e-35
0.259999999999999,-8.94832066154471e-35
0.279999999999999,-2.65533047556926e-34
0.3,-8.7771576493342e-34
0.32,-3.1139907593066e-33
0.34,-1.13296587755154e-32
0.36,-4.07841448666137e-32
0.38,-1.23270937084775e-23
0.4,-3.69812810144099e-23
0.42,-2.27386006766367e-23
0.44,3.86979059706749e-23
0.46,2.99557913486416e-22
0.48,9.85091151252278e-22
0.5,2.67237379630438e-21
0.52,7.34676704070857e-21
0.54,1.67280725804836e-20
0.56,4.7199191156398e-20
0.58,1.00749676797925e-19
0.6,3.16196719186381e-19
0.62,7.86223956057112e-19
0.64,2.30945309105759e-18
0.66,6.56500192552451e-18
0.68,1.76203682617648e-17
0.7,5.41967702102677e-17
0.72,1.32093089304048e-16
0.74,4.1887714410582e-16
0.76,9.34795156845884e-16
0.78,2.96403230207856e-15
0.8,7.09425928176624e-15
0.82,1.90992376863032e-14
0.84,4.71172462825332e-14
0.86,1.12188822994437e-13
0.88,2.78549695778453e-13
0.9,6.02564628355348e-13
0.92,1.48318015147148e-12
0.94,2.96968037042766e-12
0.96,7.17458595753523e-12
0.98,1.45716509657436e-11
1.0,3.17375131059702e-11
1.02,6.43913143933363e-11
1.04,1.29074978051918e-10
1.06,2.58943585149411e-10
1.08,4.84818919333238e-10
1.1,9.55136430848267e-10
1.12,1.68880146685626e-09
1.14,3.25308919791561e-09
1.16,5.69334536346537e-09
1.18,1.02973283431814e-08
1.2,1.77781417709879e-08
1.22,3.05243490854705e-08
1.24,5.19705806102244e-08
1.26,8.55151695758289e-08
1.28,1.43505604687777e-07
1.3,2.27562653867701e-07
1.32,3.75243480438684e-07
1.34,5.86725917506705e-07
1.36,9.31165284653781e-07
1.38,1.43547942929148e-06
1.4,2.20415028541332e-06
1.42,3.35080613453836e-06
1.44,4.99562337843555e-06
1.46,7.48344656229372e-06
1.48,1.08609986952752e-05
1.5,1.60147219494824e-05
1.52,2.29000472989872e-05
1.54,3.28759711899087e-05
1.56,4.62892147749678e-05
1.58,6.48119198056346e-05
1.6,8.98069870869178e-05
1.62,0.000122843363285237
1.64,0.000167453149124495
1.66,0.00022413441084205
1.68,0.000300479715339566
1.7,0.000395738333472967
1.72,0.00051956015646603
1.74,0.000673355696392247
1.76,0.000866799887530951
1.78,0.00110559017731751
1.8,0.00139710245897267
1.82,0.00175405287916955
1.84,0.00217833421790238
1.86,0.00269264064000003
1.88,0.00329367562160232
1.9,0.00400489065638439
1.92,0.00482728500417895
1.94,0.00577929300689467
1.96,0.00686757103022657
1.98,0.00810290669937831
2.0,0.00953433379905935
2.02,0.0111459350047709
2.04,0.012876090410288
2.06,0.014774933027743
2.08,0.0168547220568063
2.1,0.0191233384649257
2.12,0.0215852003490254
2.14,0.0242419712108811
2.16,0.0270911146676765
2.18,0.0301272215946145
2.2,0.0333443582096689
2.22,0.0367364408608206
2.24,0.0402973216160536
2.26,0.0440200960876392
2.28,0.0478965155888146
2.3,0.0519167436665618
2.32,0.0560716432364272
2.34,0.0603559588681174
2.36,0.0647696339338488
2.38,0.0693151991946144
2.4,0.0739936201927085
2.42,0.078801554452884
2.44,0.0837327486543207
2.46,0.0887806195350854
2.48,0.0939404474571746
2.5,0.0992104631752617
2.52,0.104590511466997
2.54,0.110079113425166
2.56,0.115672831034117
2.58,0.121366767918881
2.6,0.127155379776214
2.62,0.133033438108114
2.64,0.138996924589882
2.66,0.145042090961951
2.68,0.151154670979856
2.7,0.157334007602474
2.72,0.163592405825734
2.74,0.169931506602841
2.76,0.176347767496066
2.78,0.182837062600228
2.8,0.189395878122213
2.82,0.196021798977584
2.84,0.202712266460796
2.86,0.209464941127465
2.88,0.21627763233742
2.9,0.223148117015431
2.92,0.230073923532868
2.94,0.237052414552296
2.96,0.244081088241303
2.98,0.251157982142958
3.0,0.258281667083443
3.02,0.265451598180861
3.04,0.272667978214993
3.06,0.279931344768151
3.08,0.28724218199096
3.1,0.294600460427631
3.12,0.302005414461531
3.14,0.309455629281428
3.16,0.316949082528248
3.18,0.324483381569617
3.2,0.332056047299908
3.22,0.339664748670116
3.24,0.347307358766304
3.26,0.354982014879458
3.28,0.362687512756684
3.3,0.370422535264545
3.32,0.378185886350153
3.34,0.385976363052343
3.36,0.393792427405983
3.38,0.401632247388939
3.4,0.409493096767964
3.42,0.417371150019511
3.44,0.425261520357895
3.46,0.433156815845563
3.48,0.441046428994647
3.5,0.448915231494267
3.52,0.456741452441288
3.54,0.464495365092833
3.56,0.472133700510624
3.58,0.479605994965877
3.6,0.486850519368937
3.62,0.49379202745235
3.64,0.500344114390634
3.66,0.506411415535164
3.68,0.511891349077584
3.7,0.51667913650643
3.72,0.520667341962195
3.74,0.52377896329401
3.76,0.525936442491338
3.78,0.527074399996529
3.8,0.52714049939497
3.82,0.526096719330063
3.84,0.523921336443964
3.86,0.520620786299048
3.88,0.516235989727836
3.9,0.510818293975232
3.92,0.504432223892053
3.94,0.497148865011851
3.96,0.489044693518357
3.98,0.480209983138748
4.0,0.470756508459479
4.02,0.460818898703335
4.04,0.450509683002883
4.06,0.439934155371996
4.08,0.429191811094551
4.1,0.418369989316648
4.12,0.407539993180493
4.14,0.396759439821662
4.16,0.386065769117327
4.18,0.375481359173435
4.2,0.365015380875818
4.22,0.354675203245432
4.24,0.344466195957857
4.26,0.334394449090852
4.28,0.324467626619103
4.3,0.314695819199193
4.32,0.305091329607395
4.34,0.295666526375001
4.36,0.286421913508363
4.38,0.277361154175154
4.4,0.268485912900595
4.42,0.259793595991899
4.44,0.251281557283451
4.46,0.242950814893552
4.48,0.234792741765679
4.5,0.226810828039738
4.52,0.219000824476474
4.54,0.211362282998836
4.56,0.203894824245042
4.58,0.196596548343438
4.6,0.189469018832309
4.62,0.182516273113598
4.64,0.175736577170169
4.66,0.169136039551071
4.68,0.162713881425296
4.7,0.156473217504155
4.72,0.150417211481702
4.74,0.14454507356559
4.76,0.138861949693263
4.78,0.1333654748284
4.8,0.128059361361934
4.82,0.12294245079342
4.84,0.118014531363985
4.86,0.11327557457397
4.88,0.108724173452697
4.9,0.104356980072393
4.92,0.100175241529578
4.94,0.0961670344240536
4.96,0.0923371844975335
4.98,0.0886726399223086
5.0,0.085172049772891
5.02,0.0818288849422667
5.04,0.078629798062819
5.06,0.0755789192815174
5.08,0.0726501451134982
5.1,0.0698546919156116
5.12,0.0671696938604883
5.14,0.0645981010370739
5.16,0.0621297644009888
5.18,0.0597541370090978
5.2,0.0574744934323529
5.22,0.0552762746819156
5.24,0.0531661756044911
5.26,0.0511292465509503
5.28,0.0491701710035605
5.3,0.0472832518631511
5.32,0.0454659606328511
5.34,0.0437182338387662
5.36,0.0420347038273908
5.38,0.0404178436078809
5.4,0.0388619110182489
5.42,0.0373692310600278
5.44,0.0359375239484537
5.46,0.0345665581385512
5.48,0.0332559438819811
5.5,0.0320044139771243
5.52,0.0308125608855244
5.54,0.0296794917761809
5.56,0.028605590466533
5.58,0.0275902245749691
5.6,0.0266334766485512
5.62,0.0257344240590776
5.64,0.0248922558221795
5.66,0.0241069515992197
5.68,0.0233763102458846
5.7,0.0227013444938371
5.72,0.0220766454868557
5.74,0.0215039143237343
5.76,0.0209795691558732
5.78,0.0205020918276568
5.8,0.0200706670547065
5.82,0.0196802708238004
5.84,0.0193331245582151
5.86,0.0190213501674191
5.88,0.0187481388417872
5.9,0.018508010263876
5.92,0.0183004184413371
5.94,0.0181234920857756
5.96,0.0179728979240183
5.98,0.0178502508293104
6.0,0.0177492845635587
6.02,0.0176726941631604
6.04,0.0176147418266043
6.06,0.0175761852150056
6.08,0.0175549255324825
6.1,0.0175487076697427
6.12,0.0175580033656912
6.14,0.0175788028539467
6.16,0.0176129520071178
6.18,0.017656319767293
6.2,0.0177102103895277
6.22,0.0177724794049376
6.24,0.0178422114368509
6.26,0.017919123252074
6.28,0.0180006723871894
6.3,0.0180880130455862
6.32,0.0181780030341474
6.34,0.0182719157053981
6.36,0.0183677849690965
6.38,0.0184654187478817
6.4,0.0185643446013405
6.42,0.0186632929638011
6.44,0.0187627483028805
6.46,0.0188609686308895
6.48,0.0189587035059423
6.5,0.0190543946525594
6.52,0.0191482501914727
6.54,0.0192398187690957
6.56,0.019328586926639
6.58,0.0194146904440561
6.6,0.0194973301436665
6.62,0.0195768741231866
6.64,0.0196524547482904
6.66,0.0197243470021575
6.68,0.0197922688430779
6.7,0.0198560961597638
6.72,0.0199157549302302
6.74,0.019970818867249
6.76,0.020021496593671
6.78,0.0200676644049443
6.8,0.0201093724527608
6.82,0.020146470227531
6.84,0.0201789433155459
6.86,0.0202069117073454
6.88,0.0202304952400672
6.9,0.0202496730926892
6.92,0.0202648015809157
6.94,0.020275727314458
6.96,0.0202828538897801
6.98,0.0202861267943672
7.0,0.0202858106696218
7.02,0.0202821560061649
7.04,0.0202750451876265
7.06,0.020264665563808
7.08,0.0202509307950212
7.1,0.0202344419150967
7.12,0.02021500770656
7.14,0.0201926907610961
7.16,0.0201675240851602
7.18,0.0201395943850492
7.2,0.0201091685735133
7.22,0.0200761220261975
7.24,0.0200406895176356
7.26,0.0200027758263061
7.28,0.0199623907195107
7.3,0.0199195351138201
7.32,0.0198743314192551
7.34,0.0198269516815193
7.36,0.0197772869231733
7.38,0.0197252392171866
7.4,0.0196708507398464
7.42,0.0196141819783182
7.44,0.0195552246716991
7.46,0.0194939687568961
7.48,0.0194304119318031
7.5,0.0193645678180735
7.52,0.0192964837584658
7.54,0.0192261379232382
7.56,0.01915369295251
7.58,0.0190790969057031
7.6,0.01900262560408
7.62,0.0189243891570457
7.64,0.0188443762490218
7.66,0.0187627878029416
7.68,0.0186795280053406
7.7,0.0185947214635604
7.72,0.0185083176170178
7.74,0.0184205374104212
7.76,0.0183314011528212
7.78,0.0182409329142361
7.8,0.0181492330395714
7.82,0.0180562884139321
7.84,0.0179624276293656
7.86,0.0178675090980638
7.88,0.0177718468330632
7.9,0.0176753974766351
7.92,0.0175781212428266
7.94,0.0174800159498116
7.96,0.017381070653751
7.98,0.0172812370920279
8.0,0.0171805375307369
8.02,0.0170792469780352
8.04,0.0169772772749811
8.06,0.016874469611225
8.08,0.0167707659227922
8.1,0.0166663813994912
8.12,0.0165616864368424
8.14,0.0164564981533738
8.16,0.0163508883141215
8.18,0.0162448277873901
8.2,0.0161383971576474
8.22,0.0160316036775981
8.24,0.0159245622583963
8.26,0.0158174547241228
8.28,0.0157101285726447
8.3,0.0156021998720854
8.32,0.0154938341332003
8.34,0.0153856646578837
8.36,0.0152776030517349
8.38,0.015169542406211
8.4,0.0150614569257592
8.42,0.0149534806477305
8.44,0.0148460671881823
8.46,0.0147390071551107
8.48,0.0146323205164371
8.5,0.0145260008469609
8.52,0.014420045156336
8.54,0.0143144525494179
8.56,0.014209266923035
8.58,0.0141045860024681
8.6,0.0140003610791705
8.62,0.0138966002939268
8.64,0.0137933003407314
8.66,0.0136906927704037
8.68,0.0135887979795823
8.7,0.0134875620502764
8.72,0.0133869807509715
8.74,0.0132870697680341
8.76,0.013187929487673
8.78,0.0130895166137129
8.8,0.0129916657537899
8.82,0.0128944002406844
8.84,0.0127977387611411
8.86,0.01270168084652
8.88,0.0126061823613744
8.9,0.0125110716205549
8.92,0.0124164279185931
8.94,0.0123224696406298
8.96,0.0122291262521994
8.98,0.0121364620364843
9.0,0.0120445044233783
9.02,0.0119532891872736
9.04,0.0118629536013525
9.06,0.0117734336555488
9.08,0.0116848498674953
9.1,0.0115971532736812
9.12,0.0115103322364879
9.14,0.0114243857530252
9.16,0.01133935166695
9.18,0.0112552779902037
9.2,0.0111721459042862
9.22,0.0110900164168601
9.24,0.0110088632032221
9.26,0.0109287454309467
9.28,0.0108496546644499
9.3,0.0107716550068839
9.32,0.0106948020354119
9.34,0.0106190651923896
9.36,0.0105444691330785
9.38,0.0104710024639223
9.4,0.0103987018727285
9.42,0.0103275554658232
9.44,0.010257643097006
9.46,0.0101889956499311
9.48,0.0101215657182939
9.5,0.010055310100719
9.52,0.00999026011773238
9.54,0.00992664796082281
9.56,0.00986437925586271
9.58,0.00980337913652834
9.6,0.00974364129385111
9.62,0.00968527202467939
9.64,0.00962839326519892
9.66,0.00957293211304965
9.68,0.00951885599187007
9.7,0.00946617896490334
9.72,0.00941492396011265
9.74,0.00936508767439773
9.76,0.00931671545961684
9.78,0.00926984473717734
9.8,0.00922441669167035
9.82,0.00918030154892448
9.84,0.00913755931256409
9.86,0.00909647064363622
9.88,0.00905694421834698
9.9,0.00901880310054665
9.92,0.00898198371018062
9.94,0.00894661064152479
9.96,0.0089128325973874
9.98,0.0088805664155835
10.0,0.00884961230263758
