Time,Concentration
0.0,0.0
0.02,0.0
0.04,0.0
0.06,0.0
0.08,0.0
0.1,0.0
0.12,0.0
0.14,0.0
0.16,0.0
0.18,0.0
0.2,0.0
0.22,0.0
0.24,0.0
0.26,0.0
0.28,0.0
0.3,0.0
0.32,0.0
0.34,0.0
0.36,0.0
0.38,0.0
0.4,0.0
0.42,0.0
0.44,0.0
0.46,0.0
0.48,0.0
0.5,0.0
0.52,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.6,0.0
0.62,0.0
0.64,0.0
0.66,0.0
0.68,0.0
0.7,0.0
0.72,0.0
0.74,0.0
0.76,0.0
0.78,0.0
0.8,0.0
0.82,0.0
0.84,0.0
0.86,0.0
0.88,0.0
0.9,0.0
0.92,0.0
0.94,0.0
0.96,0.0
0.98,0.0
1.0,0.0
1.02,0.0
1.04,0.0
1.06,0.0
1.08,0.0
1.1,0.0
1.12,0.0
1.14,0.0
1.16,0.0
1.18,0.0
1.2,0.0
1.22,0.0
1.24,0.0
1.26,0.0
1.28,2.21e-09
1.3,5.81e-09
1.32,1.5e-08
1.34,3.74e-08
1.36,8.97e-08
1.38,2.03e-07
1.4,4.4e-07
1.42,9.22e-07
1.44,1.9e-06
1.46,3.83e-06
1.48,7.56e-06
1.5,1.46e-05
1.52,2.77e-05
1.54,5.11e-05
1.56,9.23e-05
1.58,0.000163
1.6,0.00028
1.62,0.000471
1.64,0.000773
1.66,0.001238999
1.68,0.001952381
1.7,0.003007683
1.72,0.00450419
1.74,0.006572455
1.76,0.009354551
1.78,0.012999535
1.8,0.017654028
1.82,0.023450759
1.84,0.030496586
1.86,0.038861146
1.88,0.048567108
1.9,0.059583513
1.92,0.07183159
1.94,0.085187071
1.96,0.099489421
1.98,0.114556004
2.0,0.130198449
2.02,0.146237769
2.04,0.162516301
2.06,0.178905748
2.08,0.195309417
2.1,0.211659032
2.12,0.227905611
2.14,0.24401683
2.16,0.259971546
2.18,0.27575726
2.2,0.291368274
2.22,0.306799245
2.24,0.322045737
2.26,0.337102705
2.28,0.35196217
2.3,0.366612809
2.32,0.381042519
2.34,0.395241723
2.36,0.409204662
2.38,0.422927822
2.4,0.436409192
2.42,0.449650219
2.44,0.462655837
2.46,0.475431007
2.48,0.487976047
2.5,0.500286241
2.52,0.512342572
2.54,0.524138754
2.56,0.535642537
2.58,0.546842784
2.6,0.557704341
2.62,0.568218458
2.64,0.578307318
2.66,0.587969046
2.68,0.597069148
2.7,0.605625853
2.72,0.613443609
2.74,0.620569916
2.76,0.626776499
2.78,0.632123788
2.8,0.636393695
2.82,0.639636802
2.84,0.64167688
2.86,0.642555118
2.88,0.642168811
2.9,0.64055077
2.92,0.637682804
2.94,0.633592145
2.96,0.628325512
2.98,0.621922329
3.0,0.614481313
3.02,0.606071448
3.04,0.596828293
3.06,0.586857502
3.08,0.576302269
3.1,0.565289171
3.12,0.553930121
3.14,0.542363413
3.16,0.530655317
3.18,0.518923092
3.2,0.507188357
3.22,0.495508903
3.24,0.483881696
3.26,0.472309506
3.28,0.460790096
3.3,0.449302209
3.32,0.437851319
3.34,0.426424036
3.36,0.415025159
3.38,0.403658088
3.4,0.392324929
3.42,0.381046282
3.44,0.369821347
3.46,0.358677622
3.48,0.347613484
3.5,0.336654401
3.52,0.325798246
3.54,0.315061718
3.56,0.304443334
3.58,0.29395146
3.6,0.283585379
3.62,0.273348374
3.64,0.263242365
3.66,0.253269934
3.68,0.243438081
3.7,0.233750699
3.72,0.224218875
3.74,0.214845965
3.76,0.205646294
3.78,0.196620997
3.8,0.18778567
3.82,0.179138718
3.84,0.17069441
3.86,0.162449351
3.88,0.154418827
3.9,0.146598574
3.92,0.139003658
3.94,0.131630496
3.96,0.124491842
3.98,0.117584921
4.0,0.110918838
4.02,0.104491798
4.04,0.098309432
4.06,0.092370726
4.08,0.086678656
4.1,0.081232738
4.12,0.076034318
4.14,0.071082741
4.16,0.066377919
4.18,0.061914038
4.2,0.057685664
4.22,0.053695602
4.24,0.049943853
4.26,0.046413002
4.28,0.043103356
4.3,0.04002097
4.32,0.037156384
4.34,0.034469977
4.36,0.031986967
4.38,0.029707355
4.4,0.02758551
4.42,0.02562534
4.44,0.023839217
4.46,0.022211359
4.48,0.02069238
4.5,0.019315059
4.52,0.018079395
4.54,0.016933207
4.56,0.015886404
4.58,0.014950006
4.6,0.014108263
4.62,0.013323593
4.64,0.012622187
4.66,0.012004045
4.68,0.011431079
4.7,0.010914057
4.72,0.010458981
4.74,0.010055581
4.76,0.009684998
4.78,0.009361155
4.8,0.009084054
4.82,0.008834335
4.84,0.008619081
4.86,0.00844041
4.88,0.008293069
4.9,0.00816963
4.92,0.008075973
4.94,0.008012099
4.96,0.007967704
4.98,0.007947333
5.0,0.007951661
