Time,Concentration
0.0,0.0
0.02,7.98715532976516e-65
0.04,7.36478832112036e-53
0.06,1.19776916903335e-50
0.08,8.68705395454102e-49
0.1,3.81231572630005e-47
0.12,1.15909156411025e-45
0.14,2.64481211869784e-44
0.16,4.77727820508969e-43
0.18,7.0940119270232e-42
0.199999999999999,8.90433725147124e-41
0.219999999999999,9.64767559864917e-40
0.239999999999999,9.17023702202508e-39
0.259999999999999,7.74442028805001e-38
0.279999999999999,5.87003931587597e-37
0.3,4.02605194429995e-36
0.32,2.51525855275293e-35
0.34,1.43910875191898e-34
0.36,7.57361692188342e-34
0.38,3.67873585797909e-33
0.4,1.65338744514709e-32
0.42,6.88663070140071e-32
0.44,2.65928267552729e-31
0.46,9.50887257273639e-31
0.48,3.13711070890926e-30
0.5,9.47531106407133e-30
0.52,2.57888876763286e-29
0.54,6.10967890626483e-29
0.56,1.14873994953019e-28
0.58,8.7544037749028e-24
0.6,2.62629277995128e-23
0.62,1.76339171738203e-22
0.64,6.84814921247247e-22
0.66,3.15430785984514e-21
0.68,1.55108383820782e-20
0.7,5.54439705468757e-20
0.72,2.91531695473682e-19
0.74,8.60274008843397e-19
0.76,4.42196004539333e-18
0.78,1.12914212434979e-17
0.8,5.4672339290841e-17
0.82,1.62835882223448e-16
0.84,5.63049270152668e-16
0.86,1.75382884188512e-15
0.88,4.93592530773058e-15
0.9,1.53668575077911e-14
0.92,3.75012526305018e-14
0.94,1.14156641477354e-13
0.96,2.50530506094009e-13
0.98,7.37230846035354e-13
1.0,1.67849813998902e-12
1.02,4.20984036113648e-12
1.04,9.64475675999167e-12
1.06,2.15210695083317e-11
1.08,4.87784671212708e-11
1.1,9.94467691531835e-11
1.12,2.20788230857561e-10
1.14,4.18719448199486e-10
1.16,9.05371231738366e-10
1.18,1.71127128335509e-09
1.2,3.39676228035711e-09
1.22,6.34775814137685e-09
1.24,1.17617116531936e-08
1.26,2.16390997902295e-08
1.28,3.79002912406448e-08
1.3,6.85107850004518e-08
1.32,1.14500467608893e-07
1.34,2.02270314634718e-07
1.36,3.32292232126313e-07
1.38,5.55010498010106e-07
1.4,8.91372388612472e-07
1.42,1.42033488753425e-06
1.44,2.23343505283958e-06
1.46,3.42589876044718e-06
1.48,5.28585824069775e-06
1.5,7.85205332070289e-06
1.52,1.18928370110579e-05
1.54,1.73773203467358e-05
1.56,2.55258943034219e-05
1.58,3.66761770256245e-05
1.6,5.23846728894604e-05
1.62,7.39845767610967e-05
1.64,0.000102986536704052
1.66,0.000142923433510827
1.68,0.00019429006004576
1.7,0.000264884088562879
1.72,0.000353985515180945
1.74,0.000471772709880773
1.76,0.000619871041727376
1.78,0.000808773025116047
1.8,0.00104493698200427
1.82,0.00133657942563871
1.84,0.00169835036804423
1.86,0.00213241422483411
1.88,0.0026654995733944
1.9,0.00329386802580176
1.92,0.00404585690857966
1.94,0.00492300579205299
1.96,0.00594828403569017
1.98,0.00712100528698835
2.0,0.00847407092760127
2.02,0.0100538347921235
2.04,0.0117955028549871
2.06,0.0137335377939819
2.08,0.015897688727289
2.1,0.0182913607145931
2.12,0.0209181835026355
2.14,0.0237813969070089
2.16,0.0268822548721991
2.18,0.0302205023873087
2.2,0.0337956146774521
2.22,0.0376036998377036
2.24,0.0416244109704572
2.26,0.0458540178228356
2.28,0.0502962540903162
2.3,0.0549443783500247
2.32,0.0597902773414831
2.34,0.0648276855592349
2.36,0.0700484567626548
2.38,0.0754442265020717
2.4,0.0810075994294468
2.42,0.0867329412856451
2.44,0.0926156359798679
2.46,0.0986508755102246
2.48,0.104833968380835
2.5,0.111159996884483
2.52,0.117625496908892
2.54,0.124226951813068
2.56,0.130959914203305
2.58,0.137818844262039
2.6,0.144797722460855
2.62,0.151891505787993
2.64,0.159095945606482
2.66,0.166408094520133
2.68,0.173825013943298
2.7,0.181343896016268
2.72,0.188961675142917
2.74,0.196675383729116
2.76,0.204481815969839
2.78,0.212377152134609
2.8,0.220357482905086
2.82,0.228418351434052
2.84,0.236555800672711
2.86,0.244765943335342
2.88,0.253045459322508
2.9,0.261391226303045
2.92,0.269800311013856
2.94,0.278270327419673
2.96,0.286799287264679
2.98,0.295386004787157
3.0,0.30402955432309
3.02,0.312729247645227
3.04,0.321484269586051
3.06,0.330293796490268
3.08,0.339157096771374
3.1,0.348073701049875
3.12,0.357043661014582
3.14,0.366067539500154
3.16,0.375146008712867
3.18,0.384272875072658
3.2,0.39344086273304
3.22,0.402666387539194
3.24,0.411950543714354
3.26,0.421288518496853
3.28,0.430676113287557
3.3,0.440110156970915
3.32,0.449588308647154
3.34,0.459108814723982
3.36,0.468670055863625
3.38,0.478270254132798
3.4,0.487907416749942
3.42,0.497579440830063
3.44,0.507284381320031
3.46,0.517019914125054
3.48,0.526783118280498
3.5,0.536569750881326
3.52,0.546373161811494
3.54,0.556182632688784
3.56,0.565979528870534
3.58,0.575736972616734
3.6,0.585417171697812
3.62,0.594966641648414
3.64,0.604313997411699
3.66,0.613367890543891
3.68,0.622016898024284
3.7,0.630131420267542
3.72,0.637559630319803
3.74,0.644173032048769
3.76,0.649828441853772
3.78,0.654382273407576
3.8,0.657695304024624
3.82,0.659650172166866
3.84,0.660176183180576
3.86,0.659252860963136
3.88,0.656850836848569
3.9,0.652937672494307
3.92,0.647499425343424
3.94,0.640557126359407
3.96,0.63216707920495
3.98,0.622412376440401
4.0,0.611414596825339
4.02,0.599336863831258
4.04,0.586334503829007
4.06,0.572587118996546
4.08,0.558279642360722
4.1,0.543588889157782
4.12,0.528673531850854
4.14,0.513670214593812
4.16,0.498690619313331
4.18,0.483819735508851
4.2,0.469113153883657
4.22,0.454607674752331
4.24,0.440319011722322
4.26,0.426251787302057
4.28,0.412405050195914
4.3,0.398777386173087
4.32,0.385374029890833
4.34,0.372211505465939
4.36,0.359307145378833
4.38,0.34667681148288
4.4,0.334331810284853
4.42,0.322278955954185
4.44,0.310523401827157
4.46,0.299064066232055
4.48,0.287905753415082
4.5,0.277046814162381
4.52,0.266491507315702
4.54,0.256239113522246
4.56,0.246296541560387
4.58,0.236663723020904
4.6,0.227341592631783
4.62,0.218330500337651
4.64,0.209625153326864
4.66,0.201223604783136
4.68,0.193119117998198
4.7,0.185306062362691
4.72,0.177778095393039
4.74,0.1705249637291
4.76,0.163544095024172
4.78,0.156823153827252
4.8,0.15036102529722
4.82,0.144142059396673
4.84,0.138167051874375
4.86,0.132415928916695
4.88,0.126892100018204
4.9,0.121570688019002
4.92,0.11645770625493
4.94,0.111520525995748
4.96,0.106769408457658
4.98,0.102164135658423
5.0,0.0977193781360936
5.02,0.0933892343215874
5.04,0.0891897679996867
5.06,0.0850791300925062
5.08,0.0810669866372847
5.1,0.0771224307857709
5.12,0.0732483722113588
5.14,0.069427095797202
5.16,0.0656568540695231
5.18,0.0619327233798553
5.2,0.0582521727926223
5.22,0.0546195321178612
5.24,0.0510358596155004
5.26,0.0475095272786102
5.28,0.0440483114951341
5.3,0.0406595639418915
5.32,0.0373582856348248
5.34,0.0341479431110023
5.36,0.0310489644344384
5.38,0.0280602677152765
5.4,0.0252043865010842
5.42,0.0224768957302307
5.44,0.0198992109737829
5.46,0.0174654028314199
5.48,0.0151937080443061
5.5,0.0130781640819479
5.52,0.011132686450787
5.54,0.00935225090105485
5.56,0.00774409218096169
5.58,0.00630562039304672
5.6,0.00503260326787656
5.62,0.00392627935619174
