Time,Concentration
0.0,0.0
0.02,0.0
0.04,0.0
0.06,0.0
0.08,0.0
0.1,0.0
0.12,0.0
0.14,0.0
0.16,0.0
0.18,0.0
0.2,0.0
0.22,0.0
0.24,0.0
0.26,0.0
0.28,0.0
0.3,0.0
0.32,0.0
0.34,0.0
0.36,0.0
0.38,0.0
0.4,0.0
0.42,0.0
0.44,0.0
0.46,0.0
0.48,0.0
0.5,0.0
0.52,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.6,0.0
0.62,0.0
0.64,0.0
0.66,0.0
0.68,0.0
0.7,0.0
0.72,0.0
0.74,0.0
0.76,0.0
0.78,0.0
0.8,0.0
0.82,0.0
0.84,0.0
0.86,0.0
0.88,0.0
0.9,0.0
0.92,0.0
0.94,0.0
0.96,0.0
0.98,0.0
1.0,0.0
1.02,0.0
1.04,0.0
1.06,0.0
1.08,0.0
1.1,0.0
1.12,0.0
1.14,0.0
1.16,0.0
1.18,0.0
1.2,0.0
1.22,0.0
1.24,0.0
1.26,0.0
1.28,0.0
1.3,0.0
1.32,0.0
1.34,3.78e-10
1.36,1.28e-09
1.38,4.15e-09
1.4,1.34e-08
1.42,4e-08
1.44,1.12e-07
1.46,2.83e-07
1.48,6.69e-07
1.5,1.5e-06
1.52,3.25e-06
1.54,6.83e-06
1.56,1.4e-05
1.58,2.78e-05
1.6,5.38e-05
1.62,0.000101
1.64,0.000185
1.66,0.000329
1.68,0.000568
1.7,0.000956
1.72,0.001564611
1.74,0.002495877
1.76,0.003875172
1.78,0.005868432
1.8,0.008658757
1.82,0.012470675
1.84,0.017521148
1.86,0.024049749
1.88,0.032249365
1.9,0.04229528
1.92,0.054280671
1.94,0.068231717
1.96,0.084087315
1.98,0.101692781
2.0,0.12083953
2.02,0.141245191
2.04,0.162570629
2.06,0.184576726
2.08,0.207076065
2.1,0.229872481
2.12,0.252830563
2.14,0.27587915
2.16,0.298965752
2.18,0.322054479
2.2,0.345117608
2.22,0.368128415
2.24,0.391061686
2.26,0.413888989
2.28,0.43658006
2.3,0.459098903
2.32,0.481406382
2.34,0.503460073
2.36,0.525217524
2.38,0.546631521
2.4,0.567664186
2.42,0.588270824
2.44,0.608406496
2.46,0.628027135
2.48,0.647093135
2.5,0.665572655
2.52,0.683448787
2.54,0.700709003
2.56,0.71734446
2.58,0.733348954
2.6,0.74871847
2.62,0.763451581
2.64,0.777544765
2.66,0.790987229
2.68,0.803757311
2.7,0.81581845
2.72,0.827115943
2.74,0.83757377
2.76,0.84707835
2.78,0.855521423
2.8,0.862764551
2.82,0.868655075
2.84,0.873037756
2.86,0.875770533
2.88,0.876738996
2.9,0.875855749
2.92,0.872970269
2.94,0.867902822
2.96,0.860514116
2.98,0.850791082
3.0,0.838809298
3.02,0.824943879
3.04,0.80920348
3.06,0.791902479
3.08,0.773264203
3.1,0.753452716
3.12,0.732985118
3.14,0.711774349
3.16,0.690363868
3.18,0.668570436
3.2,0.64681128
3.22,0.624923236
3.24,0.603140212
3.26,0.581376212
3.28,0.559706275
3.3,0.538117744
3.32,0.516634823
3.34,0.495261854
3.36,0.474041847
3.38,0.453004018
3.4,0.432191968
3.42,0.41168746
3.44,0.391500705
3.46,0.371767343
3.48,0.352454158
3.5,0.333718652
3.52,0.315502199
3.54,0.297933101
3.56,0.280962969
3.58,0.264648343
3.6,0.248975328
3.62,0.233938204
3.64,0.219536869
3.66,0.205738299
3.68,0.19252802
3.7,0.179877536
3.72,0.167745667
3.74,0.156126387
3.76,0.144959639
3.78,0.134259971
3.8,0.12396834
3.82,0.114106352
3.84,0.104633239
3.86,0.095564781
3.88,0.086888235
3.9,0.078607631
3.92,0.07072876
3.94,0.063251288
3.96,0.056185285
3.98,0.04953393
4.0,0.043302055
4.02,0.037496106
4.04,0.032116179
4.06,0.027164562
4.08,0.022637922
4.1,0.018535652
4.12,0.014844151
4.14,0.011563061
4.16,0.008675854
4.18,0.006171476
4.2,0.00403875
4.22,0.002256102
4.24,0.00081
4.26,0.000322
4.28,0.001167262
4.3,0.001754602
4.32,0.002117362
4.34,0.002288989
4.36,0.002303636
4.38,0.002197114
4.4,0.00200404
4.42,0.001754764
4.44,0.001474341
4.46,0.001183088
4.48,0.000898
4.5,0.000632
4.52,0.000398
4.54,0.000204
4.56,5.32e-05
4.58,5.72e-05
4.6,0.000132
4.62,0.000173
4.64,0.000186
4.66,0.000179
4.68,0.000157
4.7,0.000128
4.72,9.63e-05
4.74,6.46e-05
4.76,3.63e-05
4.78,1.35e-05
4.8,2.77e-06
4.82,1.27e-05
4.84,1.74e-05
4.86,1.8e-05
4.88,1.59e-05
4.9,1.25e-05
4.92,8.62e-06
4.94,4.98e-06
4.96,2.02e-06
4.98,2.51e-08
5.0,1.19e-06
