Date	Days	NumOutbreaks
2013-12-30	0	2
2014-01-20	21	5
2014-01-27	28	3
2014-02-03	35	5
2014-02-10	42	3
2014-02-17	49	5
2014-02-24	56	9
2014-03-03	63	8
2014-03-10	70	26
2014-03-17	77	17
2014-03-24	84	30
2014-03-31	91	26
2014-04-07	98	27
2014-04-14	105	16
2014-04-21	112	11
2014-04-28	119	12
2014-05-05	126	11
2014-05-12	133	8
2014-05-19	140	27
2014-05-26	147	50
2014-06-02	154	28
2014-06-09	161	34
2014-06-16	168	18
2014-06-23	175	24
2014-06-30	182	4
2014-07-07	189	6
2014-07-14	196	8
2014-07-21	203	43
2014-07-28	210	27
2014-08-04	217	21
2014-08-11	224	44
2014-08-18	231	77
2014-08-25	238	104
2014-09-01	245	105
2014-09-08	252	94
2014-09-15	259	82
2014-09-22	266	131
2014-09-29	273	103
2014-10-06	280	144
2014-10-13	287	115
2014-10-20	294	96
2014-10-27	301	162
2014-11-10	315	100
2014-11-17	322	170
2014-11-24	329	92
2014-12-01	336	121
2014-12-08	343	89
2014-12-15	350	216
2014-12-22	357	110
2014-12-29	364	78
2015-01-05	371	58
2015-01-12	378	22
2015-01-19	385	48
2015-01-26	392	48
2015-02-02	399	71
2015-02-09	406	60
2015-02-16	413	39
2015-02-23	420	53
2015-03-02	427	59
2015-03-09	434	95
2015-03-16	441	46
2015-03-23	448	56
2015-03-30	455	23
2015-04-06	462	32
2015-04-13	469	17
2015-04-20	476	22
2015-04-27	483	10
2015-05-04	490	7
2015-05-11	497	33
2015-05-18	504	9
2015-05-25	511	13
2015-06-01	518	12
2015-06-08	525	11
2015-06-15	532	20
2015-06-22	539	12
2015-06-29	546	18
2015-07-06	553	13
2015-07-13	560	22
2015-07-20	567	5
2015-07-27	574	1
2015-08-03	581	2
2015-08-10	588	3
2015-08-17	595	3
2015-08-24	602	2
2015-08-31	609	1
2015-09-14	623	3
2015-09-21	630	4
2015-10-12	651	3
2015-10-19	658	3
2015-10-26	665	1
