Date	Days	NumOutbreaks
2014-03-17	0	1
2014-03-24	7	1
2014-03-31	14	3
2014-04-07	21	1
2014-04-14	28	1
2014-04-28	42	1
2014-05-05	49	4
2014-05-19	63	1
2014-06-02	77	3
2014-06-09	84	18
2014-06-16	91	29
2014-06-23	98	28
2014-06-30	105	26
2014-07-07	112	38
2014-07-14	119	36
2014-07-21	126	89
2014-07-28	133	109
2014-08-04	140	223
2014-08-11	147	329
2014-08-18	154	475
2014-08-25	161	458
2014-09-01	168	482
2014-09-08	175	504
2014-09-15	182	513
2014-09-22	189	454
2014-09-29	196	315
2014-10-06	203	281
2014-10-13	210	202
2014-10-20	217	124
2014-10-27	224	139
2014-11-10	238	119
2014-11-17	245	93
2014-11-24	252	87
2014-12-01	259	71
2014-12-08	266	42
2014-12-15	273	21
2014-12-22	280	34
2014-12-29	287	9
2015-01-05	294	4
2015-01-12	301	14
2015-01-19	308	7
2015-01-26	315	12
2015-02-02	322	4
2015-02-09	329	11
2015-02-16	336	4
2015-02-23	343	1
2015-03-02	350	1
2015-03-16	364	2
2015-03-23	371	1
