Date	Days	NumOutbreaks
2014-05-19	0	3
2014-05-26	7	19
2014-06-02	14	36
2014-06-09	21	74
2014-06-16	28	63
2014-06-23	35	54
2014-06-30	42	94
2014-07-07	49	112
2014-07-14	56	78
2014-07-21	63	105
2014-07-28	70	151
2014-08-04	77	145
2014-08-11	84	134
2014-08-18	91	185
2014-08-25	98	206
2014-09-01	105	232
2014-09-08	112	246
2014-09-15	119	423
2014-09-22	126	412
2014-09-29	133	413
2014-10-06	140	434
2014-10-13	147	546
2014-10-20	154	566
2014-10-27	161	646
2014-11-10	175	555
2014-11-17	182	544
2014-11-24	189	655
2014-12-01	196	473
2014-12-08	203	470
2014-12-15	210	430
2014-12-22	217	538
2014-12-29	224	408
2015-01-05	231	338
2015-01-12	238	173
2015-01-19	245	139
2015-01-26	252	121
2015-02-02	259	114
2015-02-09	266	124
2015-02-16	273	104
2015-02-23	280	84
2015-03-02	287	117
2015-03-09	294	61
2015-03-16	301	49
2015-03-23	308	45
2015-03-30	315	35
2015-04-06	322	29
2015-04-13	329	22
2015-04-20	336	14
2015-04-27	343	18
2015-05-04	350	9
2015-05-11	357	23
2015-05-18	364	35
2015-05-25	371	24
2015-06-01	378	25
2015-06-08	385	32
2015-06-15	392	80
2015-06-22	399	68
2015-06-29	406	20
2015-07-06	413	9
2015-07-13	420	9
2015-07-20	427	5
2015-07-27	434	4
2015-08-03	441	2
2015-08-10	448	8
2015-08-17	455	2
