x	y	z
2.5824	4.2906	5.0078
7.4285	19.7571	21.1075
14.9748	16.4448	22.2413
2.7860	17.6510	17.8695
13.9701	14.8252	20.3703
4.5724	11.2990	12.1891
4.8148	12.1185	13.0399
1.2155	14.1005	14.1528
16.2576	18.9893	24.9981
0.1623	1.6012	1.6095
4.9054	19.6012	20.2056
2.5138	7.3024	7.7229
10.8956	19.3699	22.2240
12.1993	14.6066	19.0310
0.0711	5.6953	5.6957
5.1374	17.2368	17.9861
10.7212	10.9827	15.3481
6.3932	18.2502	19.3376
6.4317	16.5692	17.7737
3.6420	3.9168	5.3484
0.9684	13.6210	13.6554
2.6279	3.5808	4.4416
8.8067	10.6193	13.7960
16.9339	18.7900	25.2947
1.2316	2.3232	2.6295
3.1119	10.2630	10.7244
5.8500	19.4454	20.3063
8.2711	9.2943	12.4417
0.0750	8.4359	8.4362
3.9396	12.0772	12.7035
3.1322	18.3770	18.6420
9.9218	16.9551	19.6448
9.7432	10.1307	14.0557
14.8975	15.5423	21.5291
3.6158	19.4087	19.7426
13.4850	14.6534	19.9140
7.8280	9.8801	12.6053
11.8130	17.1442	20.8199
16.4742	19.3978	25.4495
1.7380	2.6364	3.1578
7.4664	14.8129	16.5882
5.8204	14.7167	15.8259
14.8507	19.5696	24.5665
0.0536	8.8949	8.8950
2.9096	16.7231	16.9743
1.0435	3.3514	3.5101
11.8349	12.4209	17.1565
1.1887	9.3779	9.4530
7.8612	18.6112	20.2034
9.8614	12.2412	15.7192
4.3765	18.4945	19.0053
8.2266	12.4782	14.9459
11.7345	17.3040	20.9075
8.2249	15.5276	17.5714
7.0489	10.1343	12.3447
7.5374	14.2821	16.1490
19.0591	19.6121	27.3475
12.0097	16.7977	20.6493
4.3739	8.0541	9.1651
11.1966	11.4108	15.9866
4.8564	14.0854	14.8991
9.8530	19.2906	21.6612
4.5529	18.6152	19.1639
0.5913	11.8987	11.9133
0.5580	14.4684	14.4791
6.1149	17.0924	18.1533
5.2518	11.4293	12.5782
1.5816	15.7579	15.8370
7.6718	16.2427	17.9634
9.8167	18.3003	20.7670
6.0770	11.8018	13.2745
8.0249	19.4922	21.0795
10.1424	11.7453	15.5184
0.3244	4.5025	4.5142
6.4917	13.2624	14.7660
13.1997	14.0315	19.2643
9.7634	12.1760	15.6070
2.7327	4.5849	5.3375
7.5887	19.9742	21.3672
11.2864	13.1483	17.3280
14.6297	18.1035	23.2758
5.8800	11.9785	13.3439
1.9910	3.7122	4.2124
2.5913	6.0247	6.5583
6.0914	19.8522	20.7657
7.2357	13.3952	15.2246
10.4764	12.8604	16.5875
5.9596	16.9948	18.0094
16.6892	17.8692	24.4507
4.7049	13.8372	14.6152
8.0238	18.8663	20.5017
10.0622	17.3435	20.0510
4.2192	15.9813	16.5288
8.5603	14.8315	17.1246
18.9434	19.2658	27.0190
4.5470	10.7608	11.6820
1.0928	4.5824	4.7109
4.3112	15.1718	15.7724
16.0416	16.5595	23.0554
12.4606	16.8858	20.9856
