prfInformationCarrier,prfYear,prfMonth,prfPrdOilGrossMillSm3,prfPrdGasGrossBillSm3,prfPrdCondensateGrossMillSm3,prfPrdOeGrossMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
16/1-12 (Rolvsnes),2021,8,0.00651,0.00114,0,0.00765,0.00291,17196400
16/1-12 (Rolvsnes),2021,9,0.01042,0.0025,0,0.01292,0.00719,17196400
16/1-12 (Rolvsnes),2021,10,0.01204,0.0022,0,0.01425,0.00912,17196400
16/1-12 (Rolvsnes),2021,11,0.01384,0.00249,0,0.01634,0.01186,17196400
16/1-12 (Rolvsnes),2021,12,0.00471,0.0008,0,0.00551,0.00418,17196400
16/1-12 (Rolvsnes),2022,1,0.01009,0.00172,0,0.0118,0.00926,17196400
16/1-12 (Rolvsnes),2022,2,0.0163,0.00305,0,0.01935,0.01946,17196400
16/1-12 (Rolvsnes),2022,3,0.0092,0.00193,0,0.01113,0.01439,17196400
16/1-12 (Rolvsnes),2022,4,0,0,0,0,0,17196400
16/1-12 (Rolvsnes),2022,5,0,0,0,0,0,17196400
33/9-6 DELTA,2009,7,0.0007,0.00011,0,0.00081,0.00051,44576
33/9-6 DELTA,2009,8,0.00292,0.00047,0,0.00339,0.00063,44576
33/9-6 DELTA,2009,9,0.00338,0.00054,0,0.00392,0.00316,44576
33/9-6 DELTA,2009,10,0.00312,0.0005,0,0.00362,0.00535,44576
33/9-6 DELTA,2009,11,0,0,0,0,0,44576
33/9-6 DELTA,2009,12,0.00062,0.0001,0,0.00072,0.00096,44576
33/9-6 DELTA,2010,1,0.00048,0.00008,0,0.00055,0.00079,44576
33/9-6 DELTA,2010,2,0.0027,0.00043,0,0.00313,0.00451,44576
33/9-6 DELTA,2010,3,0.00327,0.00052,0,0.00379,0.00682,44576
33/9-6 DELTA,2010,4,0.00238,0.00038,0,0.00276,0.00918,44576
33/9-6 DELTA,2010,5,0.00313,0.0005,0,0.00363,0.00698,44576
33/9-6 DELTA,2010,6,0.00193,0.00031,0,0.00224,0.00267,44576
33/9-6 DELTA,2010,7,0.00287,0.00046,0,0.00333,0.00362,44576
33/9-6 DELTA,2010,8,0.00237,0.00038,0,0.00275,0.00307,44576
33/9-6 DELTA,2010,9,0,0,0,0,0,44576
33/9-6 DELTA,2010,10,0,0,0,0,0,44576
